path_id,path_name,gene_name,description
hsa00010,Glycolysis / Gluconeogenesis,HK1,hexokinase 1 [KO:K00844] [EC:2.7.1.1]
hsa00010,Glycolysis / Gluconeogenesis,HK2,hexokinase 2 [KO:K00844] [EC:2.7.1.1]
hsa00010,Glycolysis / Gluconeogenesis,HK3,hexokinase 3 [KO:K00844] [EC:2.7.1.1]
hsa00010,Glycolysis / Gluconeogenesis,HKDC1,hexokinase domain containing 1 [KO:K00844] [EC:2.7.1.1]
hsa00010,Glycolysis / Gluconeogenesis,GCK,glucokinase [KO:K12407] [EC:2.7.1.2]
hsa00010,Glycolysis / Gluconeogenesis,GPI,glucose-6-phosphate isomerase [KO:K01810] [EC:5.3.1.9]
hsa00010,Glycolysis / Gluconeogenesis,PFKL,"phosphofructokinase, liver type [KO:K00850] [EC:2.7.1.11]"
hsa00010,Glycolysis / Gluconeogenesis,PFKM,"phosphofructokinase, muscle [KO:K00850] [EC:2.7.1.11]"
hsa00010,Glycolysis / Gluconeogenesis,PFKP,"phosphofructokinase, platelet [KO:K00850] [EC:2.7.1.11]"
hsa00010,Glycolysis / Gluconeogenesis,FBP1,fructose-bisphosphatase 1 [KO:K03841] [EC:3.1.3.11]
hsa00010,Glycolysis / Gluconeogenesis,FBP2,fructose-bisphosphatase 2 [KO:K03841] [EC:3.1.3.11]
hsa00010,Glycolysis / Gluconeogenesis,ALDOA,"aldolase, fructose-bisphosphate A [KO:K01623] [EC:4.1.2.13]"
hsa00010,Glycolysis / Gluconeogenesis,ALDOB,"aldolase, fructose-bisphosphate B [KO:K01623] [EC:4.1.2.13]"
hsa00010,Glycolysis / Gluconeogenesis,ALDOC,"aldolase, fructose-bisphosphate C [KO:K01623] [EC:4.1.2.13]"
hsa00010,Glycolysis / Gluconeogenesis,TPI1,triosephosphate isomerase 1 [KO:K01803] [EC:5.3.1.1]
hsa00010,Glycolysis / Gluconeogenesis,GAPDH,glyceraldehyde-3-phosphate dehydrogenase [KO:K00134] [EC:1.2.1.12]
hsa00010,Glycolysis / Gluconeogenesis,GAPDHS,"glyceraldehyde-3-phosphate dehydrogenase, spermatogenic [KO:K10705] [EC:1.2.1.12]"
hsa00010,Glycolysis / Gluconeogenesis,PGK1,phosphoglycerate kinase 1 [KO:K00927] [EC:2.7.2.3]
hsa00010,Glycolysis / Gluconeogenesis,PGK2,phosphoglycerate kinase 2 [KO:K00927] [EC:2.7.2.3]
hsa00010,Glycolysis / Gluconeogenesis,PGAM4,phosphoglycerate mutase family member 4 [KO:K01834] [EC:5.4.2.11]
hsa00010,Glycolysis / Gluconeogenesis,PGAM1,phosphoglycerate mutase 1 [KO:K01834] [EC:5.4.2.11]
hsa00010,Glycolysis / Gluconeogenesis,PGAM2,phosphoglycerate mutase 2 [KO:K01834] [EC:5.4.2.11]
hsa00010,Glycolysis / Gluconeogenesis,ENO1,enolase 1 [KO:K01689] [EC:4.2.1.11]
hsa00010,Glycolysis / Gluconeogenesis,ENO2,enolase 2 [KO:K01689] [EC:4.2.1.11]
hsa00010,Glycolysis / Gluconeogenesis,ENO3,enolase 3 [KO:K01689] [EC:4.2.1.11]
hsa00010,Glycolysis / Gluconeogenesis,ENO4,enolase 4 [KO:K27394] [EC:4.2.1.11]
hsa00010,Glycolysis / Gluconeogenesis,PKM,pyruvate kinase M1/2 [KO:K00873] [EC:2.7.1.40]
hsa00010,Glycolysis / Gluconeogenesis,PKLR,pyruvate kinase L/R [KO:K12406] [EC:2.7.1.40]
hsa00010,Glycolysis / Gluconeogenesis,PDHA1,pyruvate dehydrogenase E1 subunit alpha 1 [KO:K00161] [EC:1.2.4.1]
hsa00010,Glycolysis / Gluconeogenesis,PDHA2,pyruvate dehydrogenase E1 subunit alpha 2 [KO:K00161] [EC:1.2.4.1]
hsa00010,Glycolysis / Gluconeogenesis,PDHB,pyruvate dehydrogenase E1 subunit beta [KO:K00162] [EC:1.2.4.1]
hsa00010,Glycolysis / Gluconeogenesis,DLAT,dihydrolipoamide S-acetyltransferase [KO:K00627] [EC:2.3.1.12]
hsa00010,Glycolysis / Gluconeogenesis,DLD,dihydrolipoamide dehydrogenase [KO:K00382] [EC:1.8.1.4]
hsa00010,Glycolysis / Gluconeogenesis,LDHAL6A,lactate dehydrogenase A like 6A [KO:K00016] [EC:1.1.1.27]
hsa00010,Glycolysis / Gluconeogenesis,LDHA,lactate dehydrogenase A [KO:K00016] [EC:1.1.1.27]
hsa00010,Glycolysis / Gluconeogenesis,LDHB,lactate dehydrogenase B [KO:K00016] [EC:1.1.1.27]
hsa00010,Glycolysis / Gluconeogenesis,LDHC,lactate dehydrogenase C [KO:K00016] [EC:1.1.1.27]
hsa00010,Glycolysis / Gluconeogenesis,LDHAL6B,lactate dehydrogenase A like 6B [KO:K00016] [EC:1.1.1.27]
hsa00010,Glycolysis / Gluconeogenesis,ADH1A,"alcohol dehydrogenase 1A (class I), alpha polypeptide [KO:K13951] [EC:1.1.1.1]"
hsa00010,Glycolysis / Gluconeogenesis,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide [KO:K13951] [EC:1.1.1.1]"
hsa00010,Glycolysis / Gluconeogenesis,ADH1C,"alcohol dehydrogenase 1C (class I), gamma polypeptide [KO:K13951] [EC:1.1.1.1]"
hsa00010,Glycolysis / Gluconeogenesis,ADH7,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide [KO:K13951] [EC:1.1.1.1]"
hsa00010,Glycolysis / Gluconeogenesis,ADH4,"alcohol dehydrogenase 4 (class II), pi polypeptide [KO:K13980] [EC:1.1.1.1]"
hsa00010,Glycolysis / Gluconeogenesis,ADH5,"alcohol dehydrogenase 5 (class III), chi polypeptide [KO:K00121] [EC:1.1.1.284 1.1.1.1]"
hsa00010,Glycolysis / Gluconeogenesis,ADH6,alcohol dehydrogenase 6 (class V) [KO:K13952] [EC:1.1.1.1]
hsa00010,Glycolysis / Gluconeogenesis,AKR1A1,aldo-keto reductase family 1 member A1 [KO:K00002] [EC:1.1.1.2]
hsa00010,Glycolysis / Gluconeogenesis,ALDH2,aldehyde dehydrogenase 2 family member [KO:K00128] [EC:1.2.1.3]
hsa00010,Glycolysis / Gluconeogenesis,ALDH1B1,aldehyde dehydrogenase 1 family member B1 [KO:K00128] [EC:1.2.1.3]
hsa00010,Glycolysis / Gluconeogenesis,ALDH3A2,aldehyde dehydrogenase 3 family member A2 [KO:K00128] [EC:1.2.1.3]
hsa00010,Glycolysis / Gluconeogenesis,ALDH7A1,aldehyde dehydrogenase 7 family member A1 [KO:K14085] [EC:1.2.1.31 1.2.1.8 1.2.1.3]
hsa00010,Glycolysis / Gluconeogenesis,ALDH9A1,aldehyde dehydrogenase 9 family member A1 [KO:K00149] [EC:1.2.1.47 1.2.1.3]
hsa00010,Glycolysis / Gluconeogenesis,ALDH3A1,aldehyde dehydrogenase 3 family member A1 [KO:K00129] [EC:1.2.1.5]
